,EBZ,EBPA(0.3),EBPA(0.35),EBPA(0.40),EBPA(0.45),EBPA(0.50)
0,"[0.36763694908038036, 0.5135463656572731, 0.45313486862489327, 0.5515365300485073, 0.4738813692779671]","[0.2314179155866939, 0.14380104260206572, 0.2046453822137042, 0.4954179112445797, 0.3759912965487665]","[0.279230402704729, 0.3246919463542409, 0.3577952238396479, 0.42612887216277207, 0.3442950570742208]","[0.2924632919860388, 0.449140587395356, 0.34007397844254417, 0.474631319700885, 0.44509490128305607]","[0.4124893038785601, 0.44281059532844524, 0.4258870260851807, 0.5320147235439909, 0.43699035170721556]","[0.4254331137534062, 0.5031196053891487, 0.4669915778364099, 0.5691633491008102, 0.4730190372927763]"
1,"[0.15070361595784054, 0.5741115804425461, 0.5841571846678139, 0.5882160155000447, 0.5897587250177504]","[0.0567308731027929, 0.28025654235105746, 0.18305554824366443, 0.2986904913406382, 0.25781582180908846]","[0.05384029881895058, 0.30274702591390124, 0.18304209400290483, 0.29761522554265873, 0.2546581314358366]","[0.06794567437462151, 0.36051847526351977, 0.20465514244251648, 0.3208028526881449, 0.31953045526863844]","[0.08639611581606876, 0.407161550879078, 0.37325158065939734, 0.4551436500654251, 0.4050148957352596]","[0.10351848685625031, 0.4647655532277505, 0.40966734201817834, 0.47062569644674757, 0.42990699854637116]"
2,"[0.5845041936488949, 0.5810148118406722, 0.5631179965818339, 0.49950354944262965, 0.5743488657729022]","[0.27301172678226193, 0.25983621408880364, 0.3142808499441688, 0.1643338456350233, 0.2685878246345408]","[0.3112639083526785, 0.25062028978901396, 0.32718135977225704, 0.23168346236735082, 0.26113019340951205]","[0.26471295322869115, 0.353719134970216, 0.3078663079067814, 0.2041975758097485, 0.23148517763138887]","[0.3601193036391859, 0.46096327340227106, 0.4090888837465103, 0.2628051592672793, 0.35478352486025955]","[0.3522182985954474, 0.4456638297569516, 0.34093629538227965, 0.3769874917775152, 0.35045975553332964]"
3,"[0.5791426438948357, 0.5598652408777796, 0.464312369669188, 0.5706240027641081, 0.578088411031229]","[0.574101251952242, 0.18309877602904023, 0.43137801107299356, 0.1275932354094954, 0.18391188326154362]","[0.546887458793295, 0.31237684759046014, 0.4591190161744422, 0.22757377888911923, 0.20748725271053048]","[0.5475043112667122, 0.28335149527646464, 0.4274068798488261, 0.20428243490270526, 0.19694068131149645]","[0.5534117120585265, 0.2867675957869552, 0.44761062402244145, 0.22299134891762895, 0.2004071596816991]","[0.5637965674901464, 0.4689629098287207, 0.45807992361458805, 0.49292652613125987, 0.4945575294037623]"
4,"[0.553322952598499, 0.5672817801468539, 0.5851163390429897, 0.5827856679789071, 0.5877570293944483]","[0.21696009880487588, 3.5628915817653706e-08, 0.09254069133586862, 0.3113853903294901, 0.3362524441472343]","[0.17427250069836708, 0.18371806827539883, 0.3610266397626518, 0.24592869905190184, 0.40292685740993617]","[0.026286475078148075, 0.12930723733485638, 0.14267860796299936, 0.2699840914407745, 0.36286591900750476]","[0.08991200350077477, 0.257108843014039, 0.19762863004843856, 0.2669266498948406, 0.24907158317199285]","[0.326232005592496, 0.46141789746321993, 0.5046807707679785, 0.2586627079609194, 0.3751097100148889]"
5,"[0.3906429804081021, 0.47872521754583475, 0.550563333839915, 0.20548798827089876, 0.30007545976152417]","[0.36859001898041444, 0.44372260357581594, 0.42455910325159163, 0.20835099904948784, 0.0790222670470504]","[0.3602105449887978, 0.4831476986198333, 0.43279832256877704, 0.21723890249800348, 0.0599047377639651]","[0.3809129912087815, 0.48657804506108016, 0.4292698206829312, 0.2167003349956098, 0.20655835426871494]","[0.3851579304021612, 0.48361657766161337, 0.43196410788636863, 0.2149688587330536, 0.08657362403180013]","[0.3455059384241379, 0.36283437114736794, 0.32227294054555167, 0.15702192416838956, 0.0005382717040872675]"
6,"[0.3142479331752428, 0.572490853606707, 0.24613147066512298, 0.46504682640855677, 0.5019164647362238]","[0.28611086726577073, 0.3364446793770669, 0.24182786800413036, 0.32135766551779266, 0.314170604654319]","[0.29038082232322393, 0.4182227972669935, 0.24791330754927754, 0.39060515492314274, 0.35757647919518976]","[0.2989954291721414, 0.4208241606055504, 0.24442454821610027, 0.4299925716588906, 0.3422460313077944]","[0.31377223107747554, 0.46127467168656255, 0.24900447479246535, 0.41289556590677257, 0.41628254255087493]","[0.31803084419699024, 0.4651174193320122, 0.24813238286789585, 0.4547611109560292, 0.45944824418596253]"
7,"[0.5566366933794502, 0.2802965034765794, 0.5232180525924008, 0.3526024074330567, 0.5169078199864245]","[0.33981663401835394, 0.17223645236255125, 0.3017010945090479, 0.33160897666771605, 0.1795632343045459]","[0.39664505233597325, 0.24616631859406435, 0.3846160269697786, 0.3418851904261707, 0.37785921057913585]","[0.4583686914488022, 0.2636645767173599, 0.46027913277711696, 0.34906213649982964, 0.44472161613365013]","[0.43746481620863653, 0.271764965549696, 0.5067949250498993, 0.3504129983140265, 0.47436250120670564]","[0.5024724765918728, 0.28790388464520345, 0.5250486942682577, 0.363096972037399, 0.5633273048049354]"
8,"[0.4395966683653807, 0.4830629976985168, 0.5683860359822035, 0.4733129997248203, 0.3796443247026279]","[0.2255080115720035, 0.2865432607874634, 0.38279956495528844, 0.21505215746317397, 0.3795770650763366]","[0.30695756663283236, 0.2899629071942824, 0.38885410711436796, 0.26304915900167514, 0.38492956816661383]","[0.24945126535288353, 0.30948862573409286, 0.36604537955737426, 0.29187958757234933, 0.3845723407886672]","[0.359330411672223, 0.4055866252293583, 0.41461161642702626, 0.2833136474854674, 0.3873687395645735]","[0.4934257635369521, 0.47946652240624754, 0.5249987235677601, 0.45680080571022275, 0.404562651608108]"
9,"[0.4579493098087821, 0.5876071169356476, 0.46172215106666026, 0.5915395484101392, 0.5970985183137183]","[0.47462317175878665, 0.13067370523450106, 0.4363418251992316, 0.10341451476536767, 0.3828238325822193]","[0.47322893089857176, 0.1612343135466935, 0.45455439163957767, 0.09509940547365003, 0.38940848440926634]","[0.49406866002912353, 0.435729660457421, 0.46954739901834786, 0.14071243782234066, 0.39487094913486964]","[0.46773331071128943, 0.3787281792258863, 0.4551414223133019, 0.13168394700850183, 0.38828509762255903]","[0.4421762142456088, 0.49516632175810227, 0.45141032292061756, 0.503217811099, 0.5246038225079821]"
